ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Tempelhof.8381257.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/0db7ed8e3541c83a025b94b2918c8b67f9f6fd6615681d157b9b1524ae3c034e_0.small.jpg);""></a>";600;12.0;5;Tempelhof;Rumeyplan;Rumeyplan Tempelhof Berlin;(52.4756855, 13.3788198)
"<a href=""/wg-zimmer-in-Berlin-Wilmersdorf.8135596.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/29/8a6824cf6d6e1515c8129873a08992d0d3b573c002fc2becd5b5804fee13b42e_Room_4i_copy.small.JPG);""></a>";700;16.0;5;Wilmersdorf;Uhlandstrasse142;Uhlandstrasse142 Wilmersdorf Berlin;(52.49491889999999, 13.3242146)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.6465762.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/23/311874b98202df7dcf2dfc4ba2625a6fbadc319eab4d14b5e609d720ee6070d7_IMG_0962.small.jpg);""></a>";685;16.0;2;Friedrichshain;Richard-Sorge-Str.10;Richard-Sorge-Str.10 Friedrichshain Berlin;(52.5184283, 13.449486)
"<a href=""/wg-zimmer-in-Berlin-Friedenau.8352231.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/43/cb4602937cf5ee10390ce33f42f47704fa8dd89e573479923b30039b2ab9fcc7_DSC07919.small.jpeg);""></a>";700;17.0;3;Friedenau;Bruennhildestrasse8;Bruennhildestrasse8 Friedenau Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6619261.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/12/f4a74cf966192610_kueche_1.small.jpg);""></a>";650;16.0;3;Kreuzberg;Hasenheide65;Hasenheide65 Kreuzberg Berlin;(52.488554, 13.4092281)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6619235.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/12/a05bb30e66192350_kueche_1.small.jpg);""></a>";750;22.0;3;Kreuzberg;Hasenheide65;Hasenheide65 Kreuzberg Berlin;(52.488554, 13.4092281)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.5405803.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/30/821ae9e1c683f174893a9da000226d1f98238683f1606e87658aaf6e8c44d96f_Kleines_Zimmer01.small.jpeg);""></a>";500;14.0;3;PrenzlauerBerg;StorkowerStr.68;StorkowerStr.68 PrenzlauerBerg Berlin;(52.53801, 13.44598)
"<a href=""/wg-zimmer-in-Berlin-Friedenau.7918437.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/19/c97ecf1886537053595628121932f87fe28cb07fe87fdf1df930f682df742589_Room_5.small.jpeg);""></a>";700;17.0;5;Friedenau;Isoldestrasse1;Isoldestrasse1 Friedenau Berlin;(51.99240899999999, 7.550314299999999)
"<a href=""/wg-zimmer-in-Berlin-Dahlem.4044959.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/24/e29615da58347ec281024c843606deea76c043f8b190cb19eeca2314f178cc7d_Thuringia_150_Jahre_Feier_Fotograf_Tobias_Bechtle_1070.small.jpg);""></a>";295;20.0;6;Dahlem;Schwendenerstr.;Schwendenerstr. Dahlem Berlin;(52.4525417, 13.2942001)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8386711.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/c6643d391c1a430e1948d7256757d45e3c6680f51fa3dedd0353a0d9cf482049_WhatsApp_Image_2020_11_20_at_17.28.19.small.jpeg);""></a>";600;14.0;2;Neukoelln;Hasenheide117;Hasenheide117 Neukoelln Berlin;(52.48632, 13.42357)
"<a href=""/wg-zimmer-in-Berlin-Mitte.6751041.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/25/aeba71ba67510410_20180618_095726.small.jpg);""></a>";450;20.0;2;Mitte;SoldinerStrasse;SoldinerStrasse Mitte Berlin;(52.5587224, 13.3861942)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.8329367.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/41/b9c0c7ae771fb705e4c3471d04a72a0dddff3dfcef4eefd9154cf4bbdb2604b9_DSC_2634.small.JPG);""></a>";175;25.0;2;PrenzlauerBerg;EberswalderStr.21;EberswalderStr.21 PrenzlauerBerg Berlin;(52.540937, 13.4106912)
"<a href=""/wg-zimmer-in-Berlin-Gesundbrunnen.8398435.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/cfba2911030e7b07c2c0f818ee180790afd9c80a53d397dcb3de715d0833d127_160656516628128153988.small.JPEG);""></a>";375;12.0;6;Gesundbrunnen;StettinerStr.39;StettinerStr.39 Gesundbrunnen Berlin;(52.55448, 13.3876899)
